DESCRIPTION,SHOWROOM COLOR,ALGO HEXA1,ALGO CONFUSED1,ALGO PRECISE1,ALGO HEXA2,ALGO CONFUSED2,ALGO PRECISE2,ALGO HEXA3,ALGO CONFUSED3,ALGO PRECISE3,ALGO HEXA4,ALGO CONFUSED4,ALGO PRECISE4,ALGO HEXA5,ALGO CONFUSED5,ALGO PRECISE5
Robe patineuse en guipure   Fuchsia, fuchsia et noir  ,#f794b9,Silver,LightPink,#f387b0,Silver,LightPink,#f488b0,Silver,LightPink,#5c5055,Gray,DimGrey,#f792b7,Silver,LightPink
Robe longue   Corail, corail  ,#fc827b,Silver,Salmon,#fe8881,Silver,Salmon,#fb827a,Silver,Salmon,,,,,,
Robe volantée   Ecru, écru  ,#d7c6b8,Silver,Silver,#dcd8cc,Silver,LightGrey,#e1b196,Silver,Tan,#b98668,Gray,RosyBrown,,,
Robe plissée   Corail, corail et bronze  ,#f7af95,Silver,Tan,#fbb59a,Silver,LightPink,#fcb59b,Silver,LightPink,#edb48e,Silver,Tan,,,
Robe plissée   Corail, corail et bronze  ,#f7af95,Silver,Tan,#fbb59a,Silver,LightPink,#fcb59b,Silver,LightPink,#edb48e,Silver,Tan,,,
Robe plissée   Corail, corail et bronze  ,#f7af95,Silver,Tan,#fbb59a,Silver,LightPink,#fcb59b,Silver,LightPink,#edb48e,Silver,Tan,,,
Combinaison motifs fleuris   Bleu marine, bleu marine,#e6c8b4,Silver,LightPink,#e7c5b6,Silver,LightPink,#373d6c,Teal,MidnightBlue,#323449,Black,MidnightBlue,,,
Robe fourreau  Bleu marine et blanc, bleu marine et blanc  ,#a7a5b8,Silver,DarkGrey,#aaa7b6,Silver,DarkGrey,#87838e,Gray,Grey,#3b394b,Teal,MidnightBlue,,,
Robe fourreau   Noir, noir  ,#393436,Black,MidnightBlue,#2e282b,Black,MidnightBlue,#383233,Black,MidnightBlue,#312e33,Black,MidnightBlue,,,
Robe fourreau   Noir, noir  ,#393436,Black,MidnightBlue,#2e282b,Black,MidnightBlue,#383233,Black,MidnightBlue,#312e33,Black,MidnightBlue,,,
Robe patineuse   Bleu marine, bleu marine  ,#384068,Teal,MidnightBlue,#384067,Teal,MidnightBlue,#3e456d,Teal,DimGrey,#3b364a,Teal,MidnightBlue,,,
Robe patineuse   Bleu marine, bleu marine  ,#384068,Teal,MidnightBlue,#384067,Teal,MidnightBlue,#3e456d,Teal,DimGrey,#3b364a,Teal,MidnightBlue,,,
Robe patineuse   Bleu marine, bleu marine  ,#384068,Teal,MidnightBlue,#384067,Teal,MidnightBlue,#3e456d,Teal,DimGrey,#3b364a,Teal,MidnightBlue,,,
Robe volantée   Noir, noir  ,#3a3134,Black,MidnightBlue,#493f45,Gray,DimGrey,#453b3e,Black,DimGrey,#f1d6b9,Silver,Moccasin,,,
Robe droite   Noir et blanc, noir et blanc  ,#352c2e,Black,MidnightBlue,#e0c9b8,Silver,LightGrey,#373032,Black,MidnightBlue,#ecd3b9,Silver,Moccasin,,,
